head,name,actual2006,approved2006,revised2006,estimate2006,actual2007,approved2007,revised2007,estimate2007,actual2008,approved2008,revised2008,estimate2008,actual2009,approved2009,revised2009,estimate2009,actual2010,approved2010,revised2010,estimate2010,actual2011,approved2011,revised2011,estimate2011,actual2012,approved2012,revised2012,estimate2012,actual2013,approved2013,revised2013,estimate2013,actual2014,approved2014,revised2014,estimate2014
141,Player57,,,,,,,,,,,888773,498688,842952,498688,488325,569440,468650,569440,492668,537939,487322,537939,468332,583946,462116,583946,554727,679878,554997,679878,632541,717785,,,,
142,Player58,482220,591386,572601,636183,503623,636183,556886,595274,536894,595274,525731,498406,512948,498406,480431,521144,454103,521144,489395,524735,476839,524735,490655,624800,480810,624800,562316,694789,594407,694789,698733,739840,,,,
143,Player59,384984,398656,376485,386654,360925,386654,382039,396685,373104,396685,411597,397937,405983,397937,415340,417851,413908,417851,415304,410245,407594,410245,406435,420026,403255,420026,442128,459574,440344,459574,467014,499173,,,,
144,Player60,37136,39888,38554,135667,37334,135667,111954,123349,113470,123349,220207,345684,218182,345684,342686,465160,337664,465160,417764,569686,407334,569686,555495,388055,538321,388055,392533,459632,387434,459632,454255,500086,,,,
145,Player61,723256,897840,881620,928593,891193,928593,858015,729662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Player62,160321,196226,158579,185003,155032,185003,173850,184560,167865,184560,172080,188737,170869,188737,3380318,4893429,3422595,4893429,4532052,685754,4621800,685754,651627,332979,653403,332979,30088639,13240890,30147821,13240890,14244025,1812850,,,,
148,Player63,106443,121847,109569,126419,101189,126419,105047,123757,102858,123757,108851,127327,103796,127327,136917,140218,8726867,140218,140214,160788,136067,160788,155062,185493,144707,185493,198679,218136,190341,218136,217948,239173,,,,
149,Player64,28670655,27728814,27969331,28272564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Player65,113215,123427,120551,124100,109870,124100,120401,131732,118080,131732,132636,160491,124585,160491,158844,172625,154579,172625,168175,245479,157575,245479,3199962,272961,3184109,272961,249555,310451,233543,310451,261320,313589,,,,
152,Player66,474092,498029,474306,497268,459180,497268,473663,523923,472791,523923,986902,1180197,962679,1180197,1166684,1221053,1172507,1221053,1232154,1259804,1224217,1259804,1234331,1355242,1221922,1355242,1282475,1380483,1269448,1380483,1338612,1539475,,,,
155,Player67,416507,453739,429182,463305,415768,463305,448639,464046,446567,464046,469895,507943,470120,507943,512201,518516,502533,518516,467935,466126,464122,466126,470806,498232,465432,498232,498766,515467,502660,515467,538022,559228,,,,
156,Player68,32460172,33873648,33251980,34210798,32623689,34210798,33146961,35799128,32624936,35799128,35103658,37640728,34587017,37640728,37114238,39361534,36609086,39361534,37925093,39220055,37542263,39220055,39505874,41050152,39046861,41050152,44644070,43193527,44662190,43193527,50746729,44478419,,,,
158,Player69,93606,72025,72115,71671,75697,71671,71454,71832,74392,71832,108546,121693,106649,121693,120563,134537,116833,134537,127000,134358,125709,134358,122931,137433,122639,137433,137854,145786,134407,145786,148817,169179,,,,
159,Player70,185004,198474,185750,194519,175013,194519,178127,190984,176263,190984,185250,221117,181876,221117,207040,239041,199554,239041,230358,259202,216954,259202,245900,316711,238433,316711,308100,350511,301553,350511,358667,472729,,,,
160,Player71,448887,428479,428456,438886,418616,438886,417246,456081,414660,456081,433008,490757,432145,490757,481504,507957,470758,507957,484374,497227,482669,497227,474544,563106,469857,563106,542112,618020,539904,618020,620372,754288,,,,
162,Player72,375783,361772,353983,362882,347972,362882,349829,361433,347429,361433,365082,386329,358607,386329,391582,403124,381184,403124,391848,403603,383942,403603,390611,411711,384084,411711,415201,444019,405033,444019,442479,484270,,,,
163,Player73,269299,73791,70031,174083,69758,174083,132425,230058,135446,230058,240054,352739,229203,352739,328671,78444,323385,78444,74756,247231,72492,247231,206552,411923,197154,411923,397107,605648,352839,605648,546849,94315,,,,
166,Player74,189092,229812,222797,212290,207180,212290,208291,235108,205471,235108,215071,257280,213090,257280,233341,275591,232511,275591,251907,553530,251061,553530,245042,558834,248831,558834,538799,686509,530194,686509,634387,515835,,,,
